Organism,Chromosome,Size,Gaps.number,Chr.group
ChineseSpring,7D,642921167,10035,D
Jagger,1A,596211899,20183,A
Jagger,2A,804285258,29967,A
Jagger,3A,754496630,26283,A
Jagger,4A,743847818,26786,A
Jagger,5A,713320806,24338,A
Jagger,6A,625793224,31502,A
Jagger,7A,745201001,27683,A
Jagger,1B,705338699,28092,B
Jagger,2B,810734643,33296,B
Jagger,3B,855759449,34325,B
Jagger,4B,673340788,26002,B
Jagger,5B,703598484,28902,B
Jagger,6B,721110502,27920,B
Jagger,7B,749284433,30452,B
Jagger,1D,493450010,19341,D
Jagger,2D,673981989,27925,D
Jagger,3D,614042580,23358,D
Jagger,4D,515668560,18057,D
Jagger,5D,570159854,23676,D
Jagger,6D,459355444,17434,D
Jagger,7D,643344672,27057,D
Julius,1A,586755746,19038,A
Julius,2A,791475352,25379,A
Julius,3A,756990402,25574,A
Julius,4A,754256086,25426,A
Julius,5A,708234589,23396,A
Julius,6A,620883766,19771,A
Julius,7A,745978486,27154,A
Julius,1B,704478343,27020,B
Julius,2B,785940626,29697,B
Julius,3B,858776195,32849,B
Julius,4B,670301833,23568,B
Julius,5B,725120110,27998,B
Julius,6B,727285804,26819,B
Julius,7B,750160716,29309,B
Julius,1D,492109999,18790,D
Julius,2D,661246824,24279,D
Julius,3D,621195942,23893,D
Julius,4D,509263899,16677,D
Julius,5D,575129590,22257,D
Julius,6D,479660269,18299,D
Julius,7D,642428577,26513,D
Lancer,1A,595297365,14272,A
Lancer,2A,769338634,18533,A
Lancer,3A,745618965,18195,A
Lancer,4A,747589525,18628,A
Lancer,5A,703962928,17138,A
Lancer,6A,610851963,13919,A
Lancer,7A,734536914,20036,A
Lancer,1B,688905267,19366,B
Lancer,2B,671568023,20780,B
Lancer,3B,839470345,24108,B
Lancer,4B,665179885,14456,B
Lancer,5B,702438406,20160,B
Lancer,6B,707596419,19411,B
Lancer,7B,738743901,21212,B
Lancer,1D,491807393,13969,D
Lancer,2D,635285330,17035,D
Lancer,3D,646400022,19340,D
Lancer,4D,506585010,12178,D
Lancer,5D,568126671,16545,D
Lancer,6D,465558328,13197,D
Lancer,7D,636778132,19811,D
Mace,1A,590561804,15111,A
Mace,2A,782694893,20505,A
Mace,3A,739889549,19222,A
Mace,4A,738023571,19893,A
Mace,5A,701434008,18111,A
Mace,6A,612987783,15175,A
Mace,7A,732118298,20507,A
Mace,1B,685720839,20220,B
Mace,2B,796420183,23317,B
Mace,3B,848590828,25444,B
Mace,4B,667607564,17500,B
Mace,5B,690770133,20538,B
Mace,6B,704156067,20321,B
Mace,7B,733931846,22493,B
Mace,1D,490910922,14928,D
Mace,2D,650274702,19029,D
Mace,3D,610626473,19425,D
Mace,4D,506274898,12849,D
Mace,5D,567265955,17355,D
Mace,6D,475327881,14572,D
Mace,7D,636796232,21602,D
Norin61,1A,594006513,16201,A
Norin61,2A,781462734,21002,A
Norin61,3A,756841830,21234,A
Norin61,4A,723255126,19858,A
Norin61,5A,712168462,19601,A
Norin61,6A,619418949,16460,A
Norin61,7A,734693445,22053,A
Norin61,1B,693261537,22066,B
Norin61,2B,802944975,24878,B
Norin61,3B,850623622,26925,B
Norin61,4B,669876730,20326,B
Norin61,5B,712339524,24784,B
Norin61,6B,715454519,22499,B
Norin61,7B,749685439,24973,B
Norin61,1D,492948387,15732,D
Norin61,2D,650275864,20221,D
Norin61,3D,614136911,19960,D
Norin61,4D,507533340,14097,D
Norin61,5D,564869106,18186,D
Norin61,6D,478264344,15253,D
Norin61,7D,633598967,21804,D
SY_Mattis,1A,600654286,13114,A
SY_Mattis,2A,794150360,17951,A
SY_Mattis,3A,749763888,16578,A
SY_Mattis,4A,736551279,16676,A
SY_Mattis,5A,702606209,15374,A
SY_Mattis,6A,614421429,12895,A
SY_Mattis,7A,735408736,17932,A
SY_Mattis,1B,685083685,17536,B
SY_Mattis,2B,799857935,19839,B
SY_Mattis,3B,838116175,23679,B
SY_Mattis,4B,666328382,15792,B
SY_Mattis,5B,467876140,12376,B
SY_Mattis,6B,698878671,17383,B
SY_Mattis,7B,969998116,26489,B
SY_Mattis,1D,486317123,12340,D
SY_Mattis,2D,655329108,15870,D
SY_Mattis,3D,610468321,15798,D
SY_Mattis,4D,504826275,10955,D
SY_Mattis,5D,566465558,14841,D
SY_Mattis,6D,480431564,12648,D
SY_Mattis,7D,635024734,17723,D
